Average Time;Global Size;LocalSize
2.06137e-05;35;7
1.86563e-05;36;7
1.80387e-05;37;7
2.15554e-05;38;7
2.00677e-05;39;7
1.89495e-05;40;7
1.95718e-05;41;7
1.80554e-05;42;7
1.99223e-05;43;7
1.68586e-05;44;7
2.26188e-05;45;7
2.20346e-05;46;7
1.96195e-05;47;7
1.86515e-05;48;7
1.98531e-05;49;7
1.85037e-05;50;7
1.6613e-05;51;7
1.97196e-05;52;7
1.71304e-05;53;7
1.89185e-05;54;7
2.09618e-05;55;7
1.84464e-05;56;7
2.06208e-05;57;7
1.83749e-05;58;7
1.82652e-05;59;7
1.5626e-05;60;7
2.05278e-05;61;7
1.73354e-05;62;7
2.05636e-05;63;7
1.81007e-05;64;7
2.01988e-05;1;8
1.99127e-05;2;8
1.77217e-05;3;8
1.96409e-05;4;8
1.89996e-05;5;8
2.42877e-05;6;8
2.02227e-05;7;8
1.78099e-05;8;8
1.88065e-05;9;8
2.07496e-05;10;8
1.92952e-05;11;8
1.82533e-05;12;8
1.82128e-05;13;8
1.50681e-05;14;8
1.85347e-05;15;8
2.06494e-05;16;8
1.84155e-05;17;8
1.89447e-05;18;8
1.84345e-05;19;8
1.88637e-05;20;8
1.63054e-05;21;8
1.88231e-05;22;8
1.95122e-05;23;8
1.80244e-05;24;8
1.95193e-05;25;8
1.77884e-05;26;8
1.75858e-05;27;8
2.01201e-05;28;8
1.72782e-05;29;8
2.14386e-05;30;8
1.95456e-05;31;8
2.11024e-05;32;8
1.68276e-05;33;8
1.93501e-05;34;8
1.77598e-05;35;8
1.90401e-05;36;8
1.96362e-05;37;8
1.87016e-05;38;8
1.79768e-05;39;8
1.73807e-05;40;8
1.92118e-05;41;8
1.92809e-05;42;8
1.87564e-05;43;8
1.86276e-05;44;8
1.71804e-05;45;8
1.92213e-05;46;8
1.70112e-05;47;8
1.64366e-05;48;8
1.84441e-05;49;8
1.79601e-05;50;8
1.88017e-05;51;8
1.77646e-05;52;8
1.92857e-05;53;8
1.98627e-05;54;8
1.90806e-05;55;8
1.96671e-05;56;8
1.8599e-05;57;8
2.36845e-05;58;8
1.98054e-05;59;8
1.84488e-05;60;8
1.85251e-05;61;8
1.89829e-05;62;8
2.08163e-05;63;8
1.86443e-05;64;8
1.95599e-05;1;9
2.06828e-05;2;9
2.11644e-05;3;9
1.87683e-05;4;9
2.04968e-05;5;9
2.13289e-05;6;9
2.11191e-05;7;9
2.01368e-05;8;9
1.83535e-05;9;9
1.87373e-05;10;9
2.37274e-05;11;9
2.13003e-05;12;9
1.78099e-05;13;9
1.84345e-05;14;9
1.78432e-05;15;9
1.67227e-05;16;9
1.59121e-05;17;9
2.01464e-05;18;9
1.89853e-05;19;9
1.88041e-05;20;9
2.08879e-05;21;9
1.81198e-05;22;9
1.8096e-05;23;9
2.20346e-05;24;9
1.94573e-05;25;9
1.03617e-05;26;9
2.17843e-05;27;9
2.48694e-05;28;9
2.49553e-05;29;9
2.98476e-05;30;9
2.03228e-05;31;9
1.97077e-05;32;9
2.20656e-05;33;9
2.20418e-05;34;9
1.72973e-05;35;9
1.87469e-05;36;9
1.77884e-05;37;9
1.57499e-05;38;9
1.79696e-05;39;9
2.49028e-05;40;9
2.44689e-05;41;9
2.45333e-05;42;9
2.244e-05;43;9
2.44498e-05;44;9
2.02346e-05;45;9
1.78099e-05;46;9
1.69539e-05;47;9
2.03753e-05;48;9
1.85084e-05;49;9
1.73974e-05;50;9
1.92738e-05;51;9
1.9846e-05;52;9
1.87969e-05;53;9
1.68705e-05;54;9
2.09332e-05;55;9
2.13575e-05;56;9
1.84679e-05;57;9
1.85156e-05;58;9
1.87874e-05;59;9
1.87349e-05;60;9
1.89281e-05;61;9
1.97506e-05;62;9
1.80387e-05;63;9
1.9207e-05;64;9
2.02203e-05;1;10
2.05135e-05;2;10
1.84631e-05;3;10
2.15411e-05;4;10
1.8084e-05;5;10
1.73664e-05;6;10
1.82319e-05;7;10
1.99866e-05;8;10
2.14887e-05;9;10
1.78957e-05;10;10
1.82295e-05;11;10
2.05731e-05;12;10
1.7395e-05;13;10
2.03466e-05;14;10
1.90067e-05;15;10
2.09212e-05;16;10
1.96862e-05;17;10
1.72639e-05;18;10
1.22142e-05;19;10
2.26021e-05;20;10
1.94693e-05;21;10
2.08998e-05;22;10
1.85466e-05;23;10
2.0225e-05;24;10
2.06637e-05;25;10
1.96409e-05;26;10
1.9424e-05;27;10
2.06947e-05;28;10
1.84751e-05;29;10
1.8189e-05;30;10
1.80936e-05;31;10
1.75714e-05;32;10
7.38859e-06;33;10
7.35044e-06;34;10
7.43151e-06;35;10
9.74417e-06;36;10
7.45058e-06;37;10
1.09029e-05;38;10
8.75235e-06;39;10
7.35283e-06;40;10
1.18923e-05;41;10
1.1425e-05;42;10
1.66154e-05;43;10
1.6582e-05;44;10
1.26076e-05;45;10
1.18518e-05;46;10
1.50633e-05;47;10
1.69683e-05;48;10
1.29819e-05;49;10
7.44104e-06;50;10
7.34806e-06;51;10
9.17435e-06;52;10
1.40285e-05;53;10
1.67203e-05;54;10
1.6036e-05;55;10
1.77121e-05;56;10
1.54328e-05;57;10
1.46294e-05;58;10
1.44482e-05;59;10
1.5254e-05;60;10
1.37687e-05;61;10
1.38187e-05;62;10
1.39236e-05;63;10
1.38378e-05;64;10
1.45817e-05;1;11
1.3845e-05;2;11
1.37639e-05;3;11
1.45245e-05;4;11
1.36828e-05;5;11
1.48654e-05;6;11
1.3659e-05;7;11
1.63007e-05;8;11
1.56403e-05;9;11
1.60646e-05;10;11
1.47009e-05;11;11
1.14846e-05;12;11
7.1907e-06;13;11
8.54969e-06;14;11
1.52063e-05;15;11
1.53446e-05;16;11
1.70016e-05;17;11
1.66082e-05;18;11
1.56713e-05;19;11
1.42527e-05;20;11
1.43218e-05;21;11
1.44053e-05;22;11
1.59121e-05;23;11
1.50299e-05;24;11
1.41478e-05;25;11
1.5347e-05;26;11
1.54662e-05;27;11
1.50394e-05;28;11
1.51944e-05;29;11
1.55354e-05;30;11
1.55807e-05;31;11
1.50681e-05;32;11
1.53327e-05;33;11
1.49226e-05;34;11
1.45388e-05;35;11
1.51825e-05;36;11
1.54257e-05;37;11
1.54829e-05;38;11
1.50704e-05;39;11
1.36447e-05;40;11
1.52063e-05;41;11
1.52373e-05;42;11
1.50776e-05;43;11
1.58644e-05;44;11
1.48869e-05;45;11
1.49918e-05;46;11
1.44148e-05;47;11
1.53947e-05;48;11
1.49822e-05;49;11
1.56832e-05;50;11
1.5099e-05;51;11
1.4689e-05;52;11
1.12796e-05;53;11
7.18117e-06;54;11
9.52959e-06;55;11
1.09696e-05;56;11
7.30038e-06;57;11
7.34329e-06;58;11
7.61747e-06;59;11
1.01328e-05;60;11
8.63314e-06;61;11
7.23124e-06;62;11
1.85585e-05;63;11
1.73736e-05;64;11
1.76811e-05;1;12
1.71971e-05;2;12
1.41168e-05;3;12
1.44386e-05;4;12
1.50752e-05;5;12
1.51396e-05;6;12
1.61815e-05;7;12
1.53041e-05;8;12
1.51682e-05;9;12
1.49012e-05;10;12
1.48416e-05;11;12
1.56498e-05;12;12
1.53208e-05;13;12
1.40119e-05;14;12
1.38569e-05;15;12
1.61505e-05;16;12
1.5142e-05;17;12
1.4081e-05;18;12
1.61195e-05;19;12
1.43194e-05;20;12
1.52111e-05;21;12
1.54161e-05;22;12
1.53279e-05;23;12
1.65892e-05;24;12
1.40572e-05;25;12
1.50871e-05;26;12
1.52874e-05;27;12
1.58572e-05;28;12
1.46651e-05;29;12
1.46198e-05;30;12
1.45578e-05;31;12
1.52779e-05;32;12
1.51706e-05;33;12
1.55926e-05;34;12
1.46413e-05;35;12
1.6017e-05;36;12
1.57905e-05;37;12
1.52302e-05;38;12
1.53852e-05;39;12
1.42741e-05;40;12
1.38855e-05;41;12
8.67128e-06;42;12
1.49655e-05;43;12
1.54066e-05;44;12
1.51181e-05;45;12
1.52016e-05;46;12
1.47462e-05;47;12
1.51277e-05;48;12
1.63269e-05;49;12
2.16818e-05;50;12
1.66869e-05;51;12
1.51825e-05;52;12
1.47319e-05;53;12
1.42932e-05;54;12
1.44339e-05;55;12
1.42026e-05;56;12
1.49965e-05;57;12
1.51181e-05;58;12
1.58024e-05;59;12
1.4317e-05;60;12
1.30939e-05;61;12
1.4863e-05;62;12
1.54161e-05;63;12
1.48582e-05;64;12
1.64127e-05;1;13
1.76549e-05;2;13
1.41621e-05;3;13
1.56045e-05;4;13
1.53589e-05;5;13
1.44172e-05;6;13
1.41883e-05;7;13
1.54638e-05;8;13
1.45173e-05;9;13
1.46747e-05;10;13
1.48392e-05;11;13
1.52206e-05;12;13
1.43147e-05;13;13
1.30796e-05;14;13
1.75524e-05;15;13
1.63364e-05;16;13
1.34397e-05;17;13
1.38426e-05;18;13
1.29938e-05;19;13
1.61958e-05;20;13
1.56069e-05;21;13
1.51372e-05;22;13
1.61147e-05;23;13
1.42312e-05;24;13
1.57714e-05;25;13
1.51777e-05;26;13
1.58024e-05;27;13
1.5378e-05;28;13
1.51229e-05;29;13
1.52564e-05;30;13
1.57833e-05;31;13
1.37067e-05;32;13
1.44458e-05;33;13
1.49941e-05;34;13
